governorate_en,governorate_ar,district_en,district_ar,date_monday,date_sunday,cases
Abyan,أبين,Al Mahfad,المحفد,2020-01-27,2020-02-02,0
Abyan,أبين,Al Mahfad,المحفد,2020-02-03,2020-02-09,0
Abyan,أبين,Al Mahfad,المحفد,2020-02-10,2020-02-16,0
Abyan,أبين,Al Mahfad,المحفد,2020-02-17,2020-02-23,0
Abyan,أبين,Al Mahfad,المحفد,2020-02-24,2020-03-01,3
Abyan,أبين,Al Mahfad,المحفد,2020-03-02,2020-03-08,15
Abyan,أبين,Al Mahfad,المحفد,2020-03-09,2020-03-15,12
Abyan,أبين,Al Mahfad,المحفد,2020-03-16,2020-03-22,14
Abyan,أبين,Al Mahfad,المحفد,2020-03-23,2020-03-29,0
Abyan,أبين,Al Mahfad,المحفد,2020-03-30,2020-04-05,0
Abyan,أبين,Al Mahfad,المحفد,2020-04-06,2020-04-12,2
Abyan,أبين,Al Mahfad,المحفد,2020-04-13,2020-04-19,6
Abyan,أبين,Al Mahfad,المحفد,2020-04-20,2020-04-26,1
Abyan,أبين,Al Mahfad,المحفد,2020-04-27,2020-05-03,0
Abyan,أبين,Al Mahfad,المحفد,2020-05-04,2020-05-10,0
Abyan,أبين,Al Mahfad,المحفد,2020-05-11,2020-05-17,0
Abyan,أبين,Al Mahfad,المحفد,2020-05-18,2020-05-24,0
Abyan,أبين,Al Mahfad,المحفد,2020-05-25,2020-05-31,0
Abyan,أبين,Al Mahfad,المحفد,2020-06-01,2020-06-07,0
Abyan,أبين,Al Mahfad,المحفد,2020-06-08,2020-06-14,1
Abyan,أبين,Al Mahfad,المحفد,2020-06-15,2020-06-21,0
Abyan,أبين,Al Wade'a,الوضيع,2017-04-24,2017-04-30,0
Abyan,أبين,Al Wade'a,الوضيع,2017-05-01,2017-05-07,2
Abyan,أبين,Al Wade'a,الوضيع,2017-05-08,2017-05-14,4
Abyan,أبين,Al Wade'a,الوضيع,2017-05-15,2017-05-21,14
Abyan,أبين,Al Wade'a,الوضيع,2017-05-22,2017-05-28,9
Abyan,أبين,Al Wade'a,الوضيع,2017-05-29,2017-06-04,21
Abyan,أبين,Al Wade'a,الوضيع,2017-06-05,2017-06-11,29
Abyan,أبين,Al Wade'a,الوضيع,2017-06-12,2017-06-18,27
Abyan,أبين,Al Wade'a,الوضيع,2017-06-19,2017-06-25,51
Abyan,أبين,Al Wade'a,الوضيع,2017-06-26,2017-07-02,29
Abyan,أبين,Al Wade'a,الوضيع,2017-07-03,2017-07-09,30
Abyan,أبين,Al Wade'a,الوضيع,2017-07-10,2017-07-16,112
Abyan,أبين,Al Wade'a,الوضيع,2017-07-17,2017-07-23,76
Abyan,أبين,Al Wade'a,الوضيع,2017-07-24,2017-07-30,46
Abyan,أبين,Al Wade'a,الوضيع,2017-07-31,2017-08-06,63
Abyan,أبين,Al Wade'a,الوضيع,2017-08-07,2017-08-13,70
Abyan,أبين,Al Wade'a,الوضيع,2017-08-14,2017-08-20,70
Abyan,أبين,Al Wade'a,الوضيع,2017-08-21,2017-08-27,34
Abyan,أبين,Al Wade'a,الوضيع,2017-08-28,2017-09-03,44
Abyan,أبين,Al Wade'a,الوضيع,2017-09-04,2017-09-10,42
Abyan,أبين,Al Wade'a,الوضيع,2017-09-11,2017-09-17,40
Abyan,أبين,Al Wade'a,الوضيع,2017-09-18,2017-09-24,46
Abyan,أبين,Al Wade'a,الوضيع,2017-09-25,2017-10-01,13
Abyan,أبين,Al Wade'a,الوضيع,2017-10-02,2017-10-08,2
Abyan,أبين,Al Wade'a,الوضيع,2017-10-09,2017-10-15,6
Abyan,أبين,Al Wade'a,الوضيع,2017-10-16,2017-10-22,1
Abyan,أبين,Al Wade'a,الوضيع,2017-10-23,2017-10-29,0
Abyan,أبين,Al Wade'a,الوضيع,2017-10-30,2017-11-05,0
Abyan,أبين,Al Wade'a,الوضيع,2017-11-06,2017-11-12,0
Abyan,أبين,Al Wade'a,الوضيع,2017-11-13,2017-11-19,0
Abyan,أبين,Al Wade'a,الوضيع,2017-11-20,2017-11-26,0
Abyan,أبين,Al Wade'a,الوضيع,2017-11-27,2017-12-03,0
Abyan,أبين,Al Wade'a,الوضيع,2017-12-04,2017-12-10,0
Abyan,أبين,Al Wade'a,الوضيع,2017-12-11,2017-12-17,0
Abyan,أبين,Al Wade'a,الوضيع,2017-12-18,2017-12-24,0
Abyan,أبين,Al Wade'a,الوضيع,2017-12-25,2017-12-31,0
Abyan,أبين,Al Wade'a,الوضيع,2018-01-01,2018-01-07,0
Abyan,أبين,Al Wade'a,الوضيع,2018-01-08,2018-01-14,0
Abyan,أبين,Al Wade'a,الوضيع,2018-01-15,2018-01-21,0
Abyan,أبين,Al Wade'a,الوضيع,2018-01-22,2018-01-28,0
Abyan,أبين,Al Wade'a,الوضيع,2018-01-29,2018-02-04,0
Abyan,أبين,Al Wade'a,الوضيع,2018-02-05,2018-02-11,0
Abyan,أبين,Al Wade'a,الوضيع,2018-02-12,2018-02-18,0
Abyan,أبين,Al Wade'a,الوضيع,2018-02-19,2018-02-25,0
Abyan,أبين,Al Wade'a,الوضيع,2018-02-26,2018-03-04,0
Abyan,أبين,Al Wade'a,الوضيع,2018-03-05,2018-03-11,0
